               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08879,            0.018641,            0.027537,             0.20065,             0.50518,              0.2275,            0.085964,            0.057707,           0.0095168,            0.023924,            0.070395,           0.0032895,           0.0032895
                   1,            0.058097,            0.016781,            0.020914,             0.41589,             0.79128,             0.55586,             0.21293,            0.047466,           0.0072714,            0.013816,            0.040388,           0.0066163,           0.0066163
                   2,            0.055315,            0.014194,            0.012324,             0.70766,             0.73085,             0.77102,             0.37234,            0.041463,           0.0064455,           0.0086086,            0.010375,           0.0099364,           0.0099364
                   3,            0.048679,            0.012686,           0.0097287,             0.71496,             0.78506,             0.84829,             0.43416,            0.042054,            0.005758,            0.010084,           0.0099703,           0.0099703,           0.0099703
                   4,            0.043686,            0.011017,           0.0090703,             0.80875,             0.60406,             0.70681,             0.40733,            0.039153,           0.0066321,            0.019863,           0.0099703,           0.0099703,           0.0099703
                   5,            0.039845,            0.010171,           0.0075098,             0.86478,             0.87785,             0.88998,             0.44163,            0.035657,           0.0045875,            0.003747,           0.0099604,           0.0099604,           0.0099604
                   6,            0.039359,           0.0096133,           0.0081551,             0.83113,             0.87378,             0.88727,             0.51041,             0.03424,           0.0045997,           0.0076896,           0.0099505,           0.0099505,           0.0099505
                   7,             0.03663,           0.0094777,            0.007233,             0.79575,             0.82287,             0.90551,             0.52624,             0.03413,           0.0044744,           0.0064387,           0.0099406,           0.0099406,           0.0099406
                   8,            0.035969,           0.0090026,           0.0071425,              0.8926,             0.90997,              0.9211,             0.57907,            0.030059,           0.0041488,           0.0027141,           0.0099307,           0.0099307,           0.0099307
                   9,            0.035148,           0.0090226,           0.0057819,             0.88665,             0.92496,             0.91781,             0.60214,            0.030226,           0.0041675,           0.0033294,           0.0099208,           0.0099208,           0.0099208
                  10,            0.033747,           0.0084954,           0.0058438,             0.83951,             0.88276,             0.89777,             0.54902,            0.029653,           0.0041749,           0.0066515,           0.0099109,           0.0099109,           0.0099109
                  11,            0.033907,           0.0086972,           0.0059019,             0.88669,             0.92372,             0.90861,             0.60453,            0.027802,           0.0039593,            0.002979,            0.009901,            0.009901,            0.009901
                  12,             0.03243,           0.0085642,           0.0052286,             0.89316,             0.90631,             0.92087,             0.54897,            0.030082,           0.0041079,           0.0024141,           0.0098911,           0.0098911,           0.0098911
                  13,            0.031964,           0.0084874,           0.0053069,             0.90504,             0.90981,             0.93912,             0.62012,            0.028399,           0.0039816,           0.0027479,           0.0098812,           0.0098812,           0.0098812
                  14,              0.0314,           0.0083884,           0.0045719,              0.9049,              0.9434,             0.93716,             0.61621,            0.028161,            0.003799,           0.0017931,           0.0098713,           0.0098713,           0.0098713
                  15,            0.031308,            0.008439,           0.0044558,              0.9218,             0.93452,             0.93857,             0.65493,            0.026083,           0.0037479,           0.0017543,           0.0098614,           0.0098614,           0.0098614
                  16,            0.031087,           0.0081042,           0.0041429,             0.91951,             0.94038,             0.94909,             0.63539,            0.025541,           0.0037303,           0.0021501,           0.0098515,           0.0098515,           0.0098515
                  17,            0.029732,           0.0081865,           0.0037921,             0.93916,             0.94229,             0.95817,             0.64334,            0.025552,           0.0036589,           0.0018082,           0.0098416,           0.0098416,           0.0098416
                  18,            0.029379,           0.0078944,           0.0042521,             0.91018,             0.93628,             0.93677,             0.61072,            0.025964,           0.0037056,           0.0017269,           0.0098317,           0.0098317,           0.0098317
                  19,            0.029697,            0.007957,           0.0035745,              0.9155,             0.94108,             0.94858,                0.66,            0.025096,           0.0036833,           0.0019266,           0.0098218,           0.0098218,           0.0098218
                  20,            0.029038,           0.0080496,           0.0037433,             0.91278,             0.92593,             0.91869,             0.64951,            0.025181,           0.0037362,           0.0019576,           0.0098119,           0.0098119,           0.0098119
                  21,            0.029131,           0.0081993,           0.0043294,             0.93306,             0.93025,             0.94815,             0.65299,            0.026034,           0.0036282,           0.0014971,            0.009802,            0.009802,            0.009802
                  22,            0.028717,           0.0076374,           0.0034117,             0.92626,             0.92378,              0.9392,             0.67075,            0.023615,           0.0036376,           0.0018003,           0.0097921,           0.0097921,           0.0097921
                  23,            0.028453,           0.0080668,            0.003304,              0.9432,             0.94708,              0.9441,             0.68164,            0.023224,           0.0035729,           0.0012086,           0.0097822,           0.0097822,           0.0097822
                  24,            0.027194,           0.0076239,           0.0033634,             0.92655,             0.93514,             0.94311,             0.66567,            0.023797,           0.0036066,           0.0013804,           0.0097723,           0.0097723,           0.0097723
                  25,            0.027457,           0.0078124,           0.0032784,             0.92046,             0.94849,             0.94523,              0.6818,            0.022832,           0.0035087,           0.0019467,           0.0097624,           0.0097624,           0.0097624
                  26,            0.027605,           0.0076781,           0.0035595,             0.92333,             0.92455,             0.94318,             0.65983,            0.024383,           0.0037124,           0.0025169,           0.0097525,           0.0097525,           0.0097525
                  27,            0.027047,           0.0074898,           0.0034802,             0.90616,             0.93021,             0.93536,             0.65295,            0.023954,            0.003647,           0.0034855,           0.0097426,           0.0097426,           0.0097426
                  28,            0.028121,            0.008115,           0.0032575,             0.94259,             0.94174,             0.95402,              0.6819,             0.02354,            0.003584,           0.0013211,           0.0097327,           0.0097327,           0.0097327
                  29,            0.026664,           0.0076015,           0.0033008,             0.92349,             0.94503,             0.94813,             0.68516,            0.023371,            0.003572,           0.0011432,           0.0097228,           0.0097228,           0.0097228
                  30,            0.026493,            0.007567,           0.0032418,             0.93875,             0.94404,             0.94498,             0.68626,            0.022287,           0.0034862,           0.0016874,           0.0097129,           0.0097129,           0.0097129
                  31,            0.027011,           0.0074047,           0.0035467,             0.93467,             0.94371,              0.9453,              0.6542,            0.022832,            0.003621,            0.001125,            0.009703,            0.009703,            0.009703
                  32,            0.026355,           0.0074994,           0.0032645,             0.92304,             0.94525,             0.95317,             0.69526,            0.022663,           0.0034975,           0.0016041,           0.0096931,           0.0096931,           0.0096931
                  33,            0.026954,           0.0075796,           0.0022751,             0.93592,             0.94345,             0.94582,             0.69107,            0.022062,           0.0034031,          0.00079944,           0.0096832,           0.0096832,           0.0096832
                  34,            0.026272,           0.0074242,           0.0026272,             0.94549,             0.95986,             0.95789,             0.71246,            0.022075,           0.0034176,           0.0007481,           0.0096733,           0.0096733,           0.0096733
                  35,            0.026191,           0.0073982,           0.0030033,              0.9458,             0.95041,             0.94802,             0.69487,            0.022369,           0.0034058,          0.00081049,           0.0096634,           0.0096634,           0.0096634
